id;generation;life;strength;speed;cDamage
2964;938;121;1000;879;1000
1897;939;112;1000;888;1000
3996;940;120;1000;880;991
1603;941;111;1000;889;1000
1563;942;117;1000;883;1000
1280;943;125;1000;875;1000
783;944;116;1000;884;1000
1010;945;125;1000;875;998
40;946;116;1000;884;1000
270;947;124;1000;876;1000
3561;948;115;1000;885;1000
3373;949;123;1000;877;1000
957;950;114;1000;886;1000
1414;951;123;1000;877;1000
3751;952;114;1000;886;1000
2142;953;122;1000;878;1000
1436;954;113;1000;887;1000
3921;955;121;1000;879;993
3052;956;130;1000;870;988
502;957;121;1000;879;997
2783;958;112;1000;888;1000
3751;959;121;1000;879;1000
3385;960;112;1000;888;1000
3436;961;121;1000;879;1000
1778;962;112;1000;888;1000
3062;963;120;1000;880;1000
2593;964;111;1000;889;1000
1173;965;120;1000;880;999
3561;966;129;1000;871;997
83;967;120;1000;880;1000
2762;968;129;1000;871;1000
3749;969;120;1000;880;1000
925;970;111;1000;889;1000
